SKU,Title,ShortDescription,LongDescription,Price,Stock,Category_ID,Brand,Weight,Height,Width,Length,Condition,Warranty,Photos,Attributes
1,Combo Pequeno - 5 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
1-2,Combo Médio - 50 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
1-3,Combo Grande - 500 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
2,Combo Pequeno - 5 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
2-2,Combo Médio - 50 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
2-3,Combo Grande - 500 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
3,Combo Pequeno - 5 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
3-2,Combo Médio - 50 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 50 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 50 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",210,10,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
3-3,Combo Grande - 500 Capas Capa Samsung A10S - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 500 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 500 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",1500,1,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
4,Combo Pequeno - 5 Capas Capa Samsung A14 - AG-GLASS (Silicone + Vidro Cerâmico),"Venda mínima de 5 unidades. Capas novas, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio.","Venda mínima de 5 unidades. Capas novas, em embalagem original, modelos e cores sortidos. Produto doado - toda a receita apoia o Projeto Traditio. Ideal para revenda em lojas, feiras e online. Estoque disponível: 500 unidades.",30,100,Accesorios > Fundas y Carcasas,Tecnomobile,,,,,new,,https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_2.png|https://tecnomobile.eu.org/wp-content/uploads/2025/08/samsung_a10s_individual_1.jpg.jpeg,"{""cor"":""sortida"",""tipo"":""silicone + vidro""}"
